,original_question_id,question,answer,question tokens,answer tokens,combined_unique_tokens,interrogative_keywords,main_keyword
813,813,Acromantula is the name for a giant version of what creature?,Spider,['acromantula' 'be' 'name' 'giant' 'version' 'what' 'creature'],['spider'],['acromantula' 'be' 'name' 'giant' 'version' 'what' 'creature' 'spider'],['be' 'name' 'what'],name
814,814,What is the incantation of the scrubbing spell?,Scourgify,['what' 'be' 'incantation' 'scrubbing' 'spell'],['scourgify'],['what' 'be' 'incantation' 'scrubbing' 'spell' 'scourgify'],['what' 'be'],what
815,815,"In the Chamber of Secrets, the tears of the Phoenix cured the Poison of what creature?",Basilisk,['chamber' 'secret' 'tear' 'phoenix' 'cure' 'poison' 'what' 'creature'],['basilisk'],"['chamber' 'secret' 'tear' 'phoenix' 'cure' 'poison' 'what' 'creature'
 'basilisk']",['what'],what
816,816,"In Book 4, what magical creature does Harry answer a riddle from in the maze during the Triwizard Tournament?",A sphinx.,"['book' 'what' 'magical' 'creature' 'do' 'harry' 'answer' 'riddle' 'maze'
 'triwizard' 'tournament']",['sphinx'],"['book' 'what' 'magical' 'creature' 'do' 'harry' 'answer' 'riddle' 'maze'
 'triwizard' 'tournament' 'sphinx']",['what' 'do'],what
817,817,How was Hermione able to take extra lessons?,She used a time-turner,['how' 'be' 'hermione' 'able' 'take' 'extra' 'lesson'],['use' 'time' 'turner'],"['how' 'be' 'hermione' 'able' 'take' 'extra' 'lesson' 'use' 'time'
 'turner']",['how' 'be'],how
818,818,What is the name of the Weasley family home?,The Burrow,['what' 'be' 'name' 'weasley' 'family' 'home'],['burrow'],['what' 'be' 'name' 'weasley' 'family' 'home' 'burrow'],['what' 'be' 'name'],what
819,819,How do fairies communicate?,By buzzing.,['how' 'do' 'fairy' 'communicate'],['buzz'],['how' 'do' 'fairy' 'communicate' 'buzz'],['how' 'do'],how
820,820,What school-aged peer is Harry's nemesis throughout his time at Hogwarts?,Draco Malfoy.,"['what' 'school' 'age' 'peer' 'be' 'harry' 'nemesis' 'throughout' 'time'
 'hogwarts']",['draco' 'malfoy'],"['what' 'school' 'age' 'peer' 'be' 'harry' 'nemesis' 'throughout' 'time'
 'hogwarts' 'draco' 'malfoy']",['what' 'be'],what
821,821,What ingredient from the Potions Storeroom did Snape ask you to retrieve in order to restore House Points?,Pickled Slugs,"['what' 'ingredient' 'potion' 'storeroom' 'do' 'snape' 'ask' 'retrieve'
 'order' 'restore' 'house' 'point']",['pickle' 'slug'],"['what' 'ingredient' 'potion' 'storeroom' 'do' 'snape' 'ask' 'retrieve'
 'order' 'restore' 'house' 'point' 'pickle' 'slug']",['what' 'do'],what
822,822,What does the spell Accio do?,Summons objects,['what' 'do' 'spell' 'accio'],['summons' 'object'],['what' 'do' 'spell' 'accio' 'summons' 'object'],['what' 'do'],what
823,823,"Before Dumbledore, who was the Headmaster of Hogwarts?",Armando Dippet,['dumbledore' 'who' 'be' 'headmaster' 'hogwarts'],['armando' 'dippet'],['dumbledore' 'who' 'be' 'headmaster' 'hogwarts' 'armando' 'dippet'],['who' 'be'],who
824,824,"When Harry was learning the Patronus Charm, what happy memory did he initially use?",The first time he rode a broom,"['when' 'harry' 'be' 'learn' 'patronus' 'charm' 'what' 'happy' 'memory'
 'do' 'initially' 'use']",['first' 'time' 'ride' 'broom'],"['when' 'harry' 'be' 'learn' 'patronus' 'charm' 'what' 'happy' 'memory'
 'do' 'initially' 'use' 'first' 'time' 'ride' 'broom']",['when' 'be' 'what' 'do'],when
825,825,"In Harry Potter and the Prisoner of Azkaban, whose portrait replaces the Fat Lady after she is attacked?",Sir Cadogan,"['harry' 'potter' 'prisoner' 'azkaban' 'who' 'portrait' 'replace' 'fat'
 'lady' 'be' 'attacked']",['sir' 'cadogan'],"['harry' 'potter' 'prisoner' 'azkaban' 'who' 'portrait' 'replace' 'fat'
 'lady' 'be' 'attacked' 'sir' 'cadogan']",['who' 'be'],who
826,826,Which elective is occasionally offered at Hogwarts?,Alchemy,['which' 'elective' 'be' 'occasionally' 'offer' 'hogwarts'],['alchemy'],['which' 'elective' 'be' 'occasionally' 'offer' 'hogwarts' 'alchemy'],['which' 'be'],which
827,827,What is Harry's middle name?,James,['what' 'be' 'harry' 'middle' 'name'],['james'],['what' 'be' 'harry' 'middle' 'name' 'james'],['what' 'be' 'name'],what
828,828,"On the wall across from the Room of Requirement, there is a tapestry showing a wizard trying to teach trolls ballet. What's his name?",Barnabus the Barmy.,"['wall' 'across' 'room' 'requirement' 'be' 'tapestry' 'show' 'wizard'
 'try' 'teach' 'troll' 'ballet' 'what' 'name']",['barnabus' 'barmy'],"['wall' 'across' 'room' 'requirement' 'be' 'tapestry' 'show' 'wizard'
 'try' 'teach' 'troll' 'ballet' 'what' 'name' 'barnabus' 'barmy']",['be' 'what' 'name'],what
829,829,What did Professor Snape tell Harry could Detoxify people from most kinds of poisons?,Bezoar,"['what' 'do' 'professor' 'snape' 'tell' 'harry' 'could' 'detoxify'
 'people' 'kind' 'poison']",['bezoar'],"['what' 'do' 'professor' 'snape' 'tell' 'harry' 'could' 'detoxify'
 'people' 'kind' 'poison' 'bezoar']",['what' 'do' 'could'],what
830,830,"If I wanted to use an Ageing Potion to make myself significantly older, what would I do?",Drink a Bigger Quantity,"['want' 'use' 'age' 'potion' 'make' 'significantly' 'old' 'what' 'would'
 'do']",['drink' 'big' 'quantity'],"['want' 'use' 'age' 'potion' 'make' 'significantly' 'old' 'what' 'would'
 'do' 'drink' 'big' 'quantity']",['what' 'would' 'do'],what
831,831,Which plant produces stinking sap?,Mimbulus Mimbletonia,['which' 'plant' 'produce' 'stink' 'sap'],['mimbulus' 'mimbletonia'],['which' 'plant' 'produce' 'stink' 'sap' 'mimbulus' 'mimbletonia'],['which'],which
832,832,Where is the entrance to St. Mungos located?,Muggle London,['where' 'be' 'entrance' 'st' 'mungos' 'locate'],['muggle' 'london'],['where' 'be' 'entrance' 'st' 'mungos' 'locate' 'muggle' 'london'],['where' 'be'],where
833,833,What is the counter-charm to Colloportus?,Alohomora,['what' 'be' 'counter' 'charm' 'colloportus'],['alohomora'],['what' 'be' 'counter' 'charm' 'colloportus' 'alohomora'],['what' 'be'],what
834,834,What incantation marks the air with a burning trail?,Flagrate,['what' 'incantation' 'mark' 'air' 'burning' 'trail'],['flagrate'],['what' 'incantation' 'mark' 'air' 'burning' 'trail' 'flagrate'],['what'],what
835,835,Bowling dates to what ancient civilization?,Ancient Egypt,['bowl' 'date' 'what' 'ancient' 'civilization'],['ancient' 'egypt'],['bowl' 'date' 'what' 'ancient' 'civilization' 'egypt'],['what'],what
836,836,What magazine does Xenophilius Lovegood publish?,The Quibbler,['what' 'magazine' 'do' 'xenophilius' 'lovegood' 'publish'],['quibbler'],['what' 'magazine' 'do' 'xenophilius' 'lovegood' 'publish' 'quibbler'],['what' 'do'],what
837,837,Why do Ron Weasley and Hermione Granger stop speaking?,"Ron blames Hermione’s cat, Crookshanks, for the disappearance of his pet rat, Scabbers.",['why' 'do' 'ron' 'weasley' 'hermione' 'granger' 'stop' 'speaking'],"['ron' 'blame' 'hermione' 'cat' 'crookshanks' 'disappearance' 'pet' 'rat'
 'scabbers']","['why' 'do' 'ron' 'weasley' 'hermione' 'granger' 'stop' 'speaking' 'blame'
 'cat' 'crookshanks' 'disappearance' 'pet' 'rat' 'scabbers']",['why' 'do'],why
838,838,When was the Werewolf Code of Conduct developed?,1637,['when' 'be' 'werewolf' 'code' 'conduct' 'develop'],['1637'],['when' 'be' 'werewolf' 'code' 'conduct' 'develop' '1637'],['when' 'be'],when
839,839,What lives in the Forbidden Forest?,Intelligent wolves,['what' 'live' 'forbidden' 'forest'],['intelligent' 'wolf'],['what' 'live' 'forbidden' 'forest' 'intelligent' 'wolf'],['what'],what
840,840,At what age do children receive their Hogwarts letter?,11,['what' 'age' 'do' 'child' 'receive' 'hogwarts' 'letter'],['11'],['what' 'age' 'do' 'child' 'receive' 'hogwarts' 'letter' '11'],['what' 'do'],what
841,841,Who founded St Mungo's Hospital?,Mungo Bonham,['who' 'found' 'st' 'mungo' 'hospital'],['mungo' 'bonham'],['who' 'found' 'st' 'mungo' 'hospital' 'bonham'],['who'],who
842,842,What does Harry do with his winnings from the Triwizard Tournament?,Gives it to the Weasley Twins,['what' 'do' 'harry' 'winning' 'triwizard' 'tournament'],['give' 'weasley' 'twin'],"['what' 'do' 'harry' 'winning' 'triwizard' 'tournament' 'give' 'weasley'
 'twin']",['what' 'do'],what
843,843,What do Uncle Vernon and Aunt Petunia give Harry for Christmas?,A 50-pence piece,['what' 'do' 'uncle' 'vernon' 'aunt' 'petunia' 'give' 'harry' 'christmas'],['50' 'penny' 'piece'],"['what' 'do' 'uncle' 'vernon' 'aunt' 'petunia' 'give' 'harry' 'christmas'
 '50' 'penny' 'piece']",['what' 'do'],what
844,844,What is the name of the place where students buy their school supplies?,Diagon Alley,['what' 'be' 'name' 'place' 'where' 'student' 'buy' 'school' 'supply'],['diagon' 'alley'],"['what' 'be' 'name' 'place' 'where' 'student' 'buy' 'school' 'supply'
 'diagon' 'alley']",['what' 'be' 'name' 'where'],what
845,845,Who created the International Statute of Wizarding Secrecy?,International Confederation of Wizards,['who' 'create' 'international' 'statute' 'wizarding' 'secrecy'],['international' 'confederation' 'wizard'],"['who' 'create' 'international' 'statute' 'wizarding' 'secrecy'
 'confederation' 'wizard']",['who'],who
846,846,Who is Dobby's original owner?,Lucius Malfoy,['who' 'be' 'dobby' 'original' 'owner'],['lucius' 'malfoy'],['who' 'be' 'dobby' 'original' 'owner' 'lucius' 'malfoy'],['who' 'be'],who
847,847,"What is Fred Weasley’s chosen code name on Potterwatch, the secretive radio programme set up by the Order of the Phoenix?",Rapier.,"['what' 'be' 'fred' 'weasley' 'choose' 'code' 'name' 'potterwatch'
 'secretive' 'radio' 'programme' 'set' 'order' 'phoenix']",['rapier'],"['what' 'be' 'fred' 'weasley' 'choose' 'code' 'name' 'potterwatch'
 'secretive' 'radio' 'programme' 'set' 'order' 'phoenix' 'rapier']",['what' 'be' 'name'],what
848,848,"When Hermione Granger is found Petrified, she is not alone. Who is with her?",Penelope Clearwater,['when' 'hermione' 'granger' 'be' 'find' 'petrified' 'alone' 'who'],['penelope' 'clearwater'],"['when' 'hermione' 'granger' 'be' 'find' 'petrified' 'alone' 'who'
 'penelope' 'clearwater']",['when' 'be' 'who'],when
849,849,Which of the following creatures eat Fairy Eggs?,Bowtruckles,['which' 'following' 'creature' 'eat' 'fairy' 'egg'],['bowtruckles'],['which' 'following' 'creature' 'eat' 'fairy' 'egg' 'bowtruckles'],['which'],which
850,850,Which member of the Council became the first Minister of Magic?,Ulick Gamp,['which' 'member' 'council' 'become' 'first' 'minister' 'magic'],['ulick' 'gamp'],"['which' 'member' 'council' 'become' 'first' 'minister' 'magic' 'ulick'
 'gamp']",['which'],which
851,851,What does Cave Inimicum do?,Conceals presences,['what' 'do' 'cave' 'inimicum'],['conceals' 'presence'],['what' 'do' 'cave' 'inimicum' 'conceals' 'presence'],['what' 'do'],what
852,852,What is the use of a draught of peace?,Calming the drinker,['what' 'be' 'use' 'draught' 'peace'],['calm' 'drinker'],['what' 'be' 'use' 'draught' 'peace' 'calm' 'drinker'],['what' 'be'],what
853,853,Which insect is Ron afraid of?,Spiders,['which' 'insect' 'be' 'ron' 'afraid'],['spider'],['which' 'insect' 'be' 'ron' 'afraid' 'spider'],['which' 'be'],which
854,854,"Which of these spells is most similar to Flipendo, the Knockback Jinx?",Depulso,['which' 'spell' 'be' 'similar' 'flipendo' 'knockback' 'jinx'],['depulso'],['which' 'spell' 'be' 'similar' 'flipendo' 'knockback' 'jinx' 'depulso'],['which' 'be'],which
855,855,Which condition could be remedied by a Calming Draught?,Shock,['which' 'condition' 'could' 'be' 'remedied' 'calming' 'draught'],['shock'],['which' 'condition' 'could' 'be' 'remedied' 'calming' 'draught' 'shock'],['which' 'could' 'be'],which
856,856,What is Godric Gryffindor's signature item?,Sword,['what' 'be' 'godric' 'gryffindor' 'signature' 'item'],['sword'],['what' 'be' 'godric' 'gryffindor' 'signature' 'item' 'sword'],['what' 'be'],what
857,857,What does Colovaria do?,Change Something's Colour,['what' 'do' 'colovaria'],['change' 'something' 'colour'],['what' 'do' 'colovaria' 'change' 'something' 'colour'],['what' 'do'],what
858,858,Who wrote Fantastic Beasts and Where to Find Them?,Newt Scamander,['who' 'write' 'fantastic' 'beast' 'where' 'find'],['newt' 'scamander'],['who' 'write' 'fantastic' 'beast' 'where' 'find' 'newt' 'scamander'],['who' 'where'],who
859,859,When does Quidditch season begin?,A September,['when' 'do' 'quidditch' 'season' 'begin'],['september'],['when' 'do' 'quidditch' 'season' 'begin' 'september'],['when' 'do'],when
860,860,How many possible Quidditch fouls are there?,700,['how' 'many' 'possible' 'quidditch' 'foul' 'be'],['700'],['how' 'many' 'possible' 'quidditch' 'foul' 'be' '700'],['how' 'be'],how
861,861,What office does Arthur Weasley work for in the Ministry of Magic?,The Misuse of Muggle Artefacts Office,['what' 'office' 'do' 'arthur' 'weasley' 'work' 'ministry' 'magic'],['misuse' 'muggle' 'artefact' 'office'],"['what' 'office' 'do' 'arthur' 'weasley' 'work' 'ministry' 'magic'
 'misuse' 'muggle' 'artefact']",['what' 'do'],what
862,862,Where was the first meeting of Dumbledore's Army?,Hog's Head Inn,['where' 'be' 'first' 'meeting' 'dumbledore' 'army'],['hog' 'head' 'inn'],['where' 'be' 'first' 'meeting' 'dumbledore' 'army' 'hog' 'head' 'inn'],['where' 'be'],where
863,863,What do Flobberworms eat?,Lettuce,['what' 'do' 'flobberworms' 'eat'],['lettuce'],['what' 'do' 'flobberworms' 'eat' 'lettuce'],['what' 'do'],what
864,864,What is Snape's birthday?,"Jan. 9, 1960",['what' 'be' 'snape' 'birthday'],['jan' '1960'],['what' 'be' 'snape' 'birthday' 'jan' '1960'],['what' 'be'],what
865,865,Which spell is one of the Unforgivable Curses?,Crucio,['which' 'spell' 'be' 'one' 'unforgivable' 'curse'],['crucio'],['which' 'spell' 'be' 'one' 'unforgivable' 'curse' 'crucio'],['which' 'be'],which
866,866,What is at the base of the Whomping Willow?,A tunnel that leads to the Shrieking Shack.,['what' 'be' 'base' 'whomping' 'willow'],['tunnel' 'lead' 'shrieking' 'shack'],"['what' 'be' 'base' 'whomping' 'willow' 'tunnel' 'lead' 'shrieking'
 'shack']",['what' 'be'],what
867,867,What is the name of the spell used to conjure the Patronus Charm?,Expecto Patronum,['what' 'be' 'name' 'spell' 'use' 'conjure' 'patronus' 'charm'],['expecto' 'patronum'],"['what' 'be' 'name' 'spell' 'use' 'conjure' 'patronus' 'charm' 'expecto'
 'patronum']",['what' 'be' 'name'],what
868,868,How old is Professor Snape?,About 30,['how' 'old' 'be' 'professor' 'snape'],['30'],['how' 'old' 'be' 'professor' 'snape' '30'],['how' 'be'],how
869,869,"In the book, where do Hermione Granger’s parents move to?",Australia,['book' 'where' 'do' 'hermione' 'granger' 'parent' 'move'],['australia'],['book' 'where' 'do' 'hermione' 'granger' 'parent' 'move' 'australia'],['where' 'do'],where
870,870,Who is the Headmaster of Hogwarts when Harry arrives?,Albus Dumbledore.,['who' 'be' 'headmaster' 'hogwarts' 'when' 'harry' 'arrive'],['albus' 'dumbledore'],"['who' 'be' 'headmaster' 'hogwarts' 'when' 'harry' 'arrive' 'albus'
 'dumbledore']",['who' 'be' 'when'],who
871,871,What makes the Manticore's tail so dangerous?,Its deadly sting,['what' 'make' 'manticore' 'tail' 'dangerous'],['deadly' 'sting'],['what' 'make' 'manticore' 'tail' 'dangerous' 'deadly' 'sting'],['what'],what
872,872,Harry uses Parseltongue to speak to which creatures?,Snake,['harry' 'use' 'parseltongue' 'speak' 'which' 'creature'],['snake'],['harry' 'use' 'parseltongue' 'speak' 'which' 'creature' 'snake'],['which'],which
873,873,Who guards the entrance to the Gryffindor common room?,The Fat Lady,['who' 'guard' 'entrance' 'gryffindor' 'common' 'room'],['fat' 'lady'],['who' 'guard' 'entrance' 'gryffindor' 'common' 'room' 'fat' 'lady'],['who'],who
874,874,Which of the following Charms did we learn in the first year?,Knockback Jinx,['which' 'following' 'charm' 'do' 'learn' 'first' 'year'],['knockback' 'jinx'],"['which' 'following' 'charm' 'do' 'learn' 'first' 'year' 'knockback'
 'jinx']",['which' 'do'],which
875,875,Which of these factors does not affect Transfiguration?,Hue,['which' 'factor' 'do' 'affect' 'transfiguration'],['hue'],['which' 'factor' 'do' 'affect' 'transfiguration' 'hue'],['which' 'do'],which
876,876,Why shouldn't you drop Puffapod beans?,They'll bloom,['why' 'drop' 'puffapod' 'bean'],['bloom'],['why' 'drop' 'puffapod' 'bean' 'bloom'],['why'],why
877,877,What is Bubotuber pus used for?,Clearing up acne,['what' 'be' 'bubotuber' 'pu' 'use'],['clear' 'acne'],['what' 'be' 'bubotuber' 'pu' 'use' 'clear' 'acne'],['what' 'be'],what
878,878,Where is the best place to buy flesh-eating repellent?,Knockturn Alley,['where' 'be' 'best' 'place' 'buy' 'flesh' 'eating' 'repellent'],['knockturn' 'alley'],"['where' 'be' 'best' 'place' 'buy' 'flesh' 'eating' 'repellent'
 'knockturn' 'alley']",['where' 'be'],where
879,879,Which of these being does not live on the Hogwarts grounds?,Goblins,['which' 'be' 'do' 'live' 'hogwarts' 'ground'],['goblin'],['which' 'be' 'do' 'live' 'hogwarts' 'ground' 'goblin'],['which' 'be' 'do'],which
880,880,What's the only exciting part of my class?,Entrance Through the Blackboard,['what' 'exciting' 'part' 'class'],['entrance' 'blackboard'],['what' 'exciting' 'part' 'class' 'entrance' 'blackboard'],['what'],what
881,881,What is arithmancy?,Numerology,['what' 'be' 'arithmancy'],['numerology'],['what' 'be' 'arithmancy' 'numerology'],['what' 'be'],what
882,882,How do you get into the Room of Requirement?,"While thinking about what you need the room to become, walk past where it should be three times.",['how' 'do' 'get' 'room' 'requirement'],"['think' 'what' 'need' 'room' 'become' 'walk' 'past' 'where' 'should' 'be'
 'three' 'time']","['how' 'do' 'get' 'room' 'requirement' 'think' 'what' 'need' 'become'
 'walk' 'past' 'where' 'should' 'be' 'three' 'time']",['how' 'do'],how
883,883,Does Blue Sparks do any damage when cast on people?,It only hurts a little.,['do' 'blue' 'spark' 'damage' 'when' 'cast' 'people'],['hurt' 'little'],['do' 'blue' 'spark' 'damage' 'when' 'cast' 'people' 'hurt' 'little'],['do' 'when'],when
884,884,What is another name for Defodio?,Gouging Spell,['what' 'be' 'another' 'name' 'defodio'],['gouge' 'spell'],['what' 'be' 'another' 'name' 'defodio' 'gouge' 'spell'],['what' 'be' 'name'],what
885,885,What item in the Headmaster's Office allows you to review bottled memories?,The Pensieve.,['what' 'item' 'headmaster' 'office' 'allow' 'review' 'bottled' 'memory'],['pensieve'],"['what' 'item' 'headmaster' 'office' 'allow' 'review' 'bottled' 'memory'
 'pensieve']",['what'],what
886,886,Where do Glumbubles nest?,Dark and secluded places.,['where' 'do' 'glumbubles' 'nest'],['dark' 'seclude' 'place'],['where' 'do' 'glumbubles' 'nest' 'dark' 'seclude' 'place'],['where' 'do'],where
887,887,What is the correct way to open the Monster Book of Monsters?,Stroke the spine,['what' 'be' 'correct' 'way' 'open' 'monster' 'book'],['stroke' 'spine'],['what' 'be' 'correct' 'way' 'open' 'monster' 'book' 'stroke' 'spine'],['what' 'be'],what
888,888,What are the gemstones in the cursed necklace Draco Malfoy buys from Borgin and Burkes?,Opals,"['what' 'be' 'gemstone' 'cursed' 'necklace' 'draco' 'malfoy' 'buy'
 'borgin' 'burke']",['opal'],"['what' 'be' 'gemstone' 'cursed' 'necklace' 'draco' 'malfoy' 'buy'
 'borgin' 'burke' 'opal']",['what' 'be'],what
889,889,And where do the Weasleys go on holiday with their winnings?,Egypt,['where' 'do' 'weasleys' 'go' 'holiday' 'winning'],['egypt'],['where' 'do' 'weasleys' 'go' 'holiday' 'winning' 'egypt'],['where' 'do'],where
890,890,What is the primary ingredient in Polyjuice Potion?,A piece of the person you want to turn into,['what' 'be' 'primary' 'ingredient' 'polyjuice' 'potion'],['piece' 'person' 'want' 'turn'],"['what' 'be' 'primary' 'ingredient' 'polyjuice' 'potion' 'piece' 'person'
 'want' 'turn']",['what' 'be'],what
891,891,What magical plant appears to have floating fruit?,Dirigible Plum,['what' 'magical' 'plant' 'appear' 'have' 'float' 'fruit'],['dirigible' 'plum'],"['what' 'magical' 'plant' 'appear' 'have' 'float' 'fruit' 'dirigible'
 'plum']",['what' 'have'],what
892,892,What is Dean Thomas's favorite sport?,Football (soccer),['what' 'be' 'dean' 'thomas' 'favorite' 'sport'],['football' 'soccer'],['what' 'be' 'dean' 'thomas' 'favorite' 'sport' 'football' 'soccer'],['what' 'be'],what
893,893,What is the correct birth order of the Weasley children?,"Bill, Charlie, Percy, Fred and George, Ron, Ginny",['what' 'be' 'correct' 'birth' 'order' 'weasley' 'child'],['bill' 'charlie' 'percy' 'fred' 'george' 'ron' 'ginny'],"['what' 'be' 'correct' 'birth' 'order' 'weasley' 'child' 'bill' 'charlie'
 'percy' 'fred' 'george' 'ron' 'ginny']",['what' 'be'],what
894,894,Who is Harry Potter's godfather?,Sirius Black.,['who' 'be' 'harry' 'potter' 'godfather'],['sirius' 'black'],['who' 'be' 'harry' 'potter' 'godfather' 'sirius' 'black'],['who' 'be'],who
895,895,What can't the Blackboard Writing Spell create on a blackboard?,Music scores.,['what' 'can' 'blackboard' 'write' 'spell' 'create'],['music' 'score'],['what' 'can' 'blackboard' 'write' 'spell' 'create' 'music' 'score'],['what' 'can'],what
896,896,What is Voldemort's real name?,Tom Marvolo Riddle,['what' 'be' 'voldemort' 'real' 'name'],['tom' 'marvolo' 'riddle'],['what' 'be' 'voldemort' 'real' 'name' 'tom' 'marvolo' 'riddle'],['what' 'be' 'name'],what
897,897,"For Harry's 17th birthday, what color did Hermione turn the leaves of the Weasleys’ crabapple tree?",Gold,"['harry' '17th' 'birthday' 'what' 'color' 'do' 'hermione' 'turn' 'leaf'
 'weasleys' 'crabapple' 'tree']",['gold'],"['harry' '17th' 'birthday' 'what' 'color' 'do' 'hermione' 'turn' 'leaf'
 'weasleys' 'crabapple' 'tree' 'gold']",['what' 'do'],what
898,898,Which spell causes objects to swell in size?,Engorgio,['which' 'spell' 'cause' 'object' 'swell' 'size'],['engorgio'],['which' 'spell' 'cause' 'object' 'swell' 'size' 'engorgio'],['which'],which
899,899,What is the putrid green fluid produced by the mimbulus mumbletonia?,Stinksap,['what' 'be' 'putrid' 'green' 'fluid' 'produce' 'mimbulus' 'mumbletonia'],['stinksap'],"['what' 'be' 'putrid' 'green' 'fluid' 'produce' 'mimbulus' 'mumbletonia'
 'stinksap']",['what' 'be'],what
900,900,Which of the following is NOT an ingredient in the Antidote to Common Potions?,Red Myrrh,['which' 'following' 'be' 'ingredient' 'antidote' 'common' 'potion'],['red' 'myrrh'],"['which' 'following' 'be' 'ingredient' 'antidote' 'common' 'potion' 'red'
 'myrrh']",['which' 'be'],which
901,901,What does the spell Colloportus do?,Lock and seal doors,['what' 'do' 'spell' 'colloportus'],['lock' 'seal' 'door'],['what' 'do' 'spell' 'colloportus' 'lock' 'seal' 'door'],['what' 'do'],what
902,902,What is the name of the Weasley twins’ magic joke shop?,Weasleys’ Wizard Wheezes,['what' 'be' 'name' 'weasley' 'twin' 'magic' 'joke' 'shop'],['weasleys' 'wizard' 'wheeze'],"['what' 'be' 'name' 'weasley' 'twin' 'magic' 'joke' 'shop' 'weasleys'
 'wizard' 'wheeze']",['what' 'be' 'name'],what
903,903,The Muffliato Charm fills its targets' ears with what?,Unidentifiable Buzzing,['muffliato' 'charm' 'fill' 'target' 'ears' 'what'],['unidentifiable' 'buzzing'],"['muffliato' 'charm' 'fill' 'target' 'ears' 'what' 'unidentifiable'
 'buzzing']",['what'],what
904,904,What did Hermione say Ron has the emotional range of?,A teaspoon,['what' 'do' 'hermione' 'say' 'ron' 'have' 'emotional' 'range'],['teaspoon'],['what' 'do' 'hermione' 'say' 'ron' 'have' 'emotional' 'range' 'teaspoon'],['what' 'do' 'have'],what
905,905,What was the name of the wizard who created the Sorcerer's Stone?,Nicolas Flamel,['what' 'be' 'name' 'wizard' 'who' 'create' 'sorcerer' 'stone'],['nicolas' 'flamel'],"['what' 'be' 'name' 'wizard' 'who' 'create' 'sorcerer' 'stone' 'nicolas'
 'flamel']",['what' 'be' 'name' 'who'],what
906,906,What was the name of the Potters' house-elf?,Kreacher,['what' 'be' 'name' 'potter' 'house' 'elf'],['kreacher'],['what' 'be' 'name' 'potter' 'house' 'elf' 'kreacher'],['what' 'be' 'name'],what
907,907,Is it safe to eat mistletoe berries?,"No, they're poisonous.",['be' 'safe' 'eat' 'mistletoe' 'berry'],['no' 'poisonous'],['be' 'safe' 'eat' 'mistletoe' 'berry' 'no' 'poisonous'],['be'],be
908,908,"In the book, what sport has Dudley recently taken up?",Boxing,['book' 'what' 'sport' 'have' 'dudley' 'recently' 'take'],['boxing'],['book' 'what' 'sport' 'have' 'dudley' 'recently' 'take' 'boxing'],['what' 'have'],what
909,909,What name does Buckbeak get after being saved from execution?,Witherwings,['what' 'name' 'do' 'buckbeak' 'get' 'be' 'save' 'execution'],['witherwings'],['what' 'name' 'do' 'buckbeak' 'get' 'be' 'save' 'execution' 'witherwings'],['what' 'name' 'do' 'be'],what
910,910,What are the optimal growing conditions for Devil's Snare?,Dark and damp,['what' 'be' 'optimal' 'growing' 'condition' 'devil' 'snare'],['dark' 'damp'],['what' 'be' 'optimal' 'growing' 'condition' 'devil' 'snare' 'dark' 'damp'],['what' 'be'],what
911,911,What event followed the Soap Blizzard of 1378?,Economic Crash,['what' 'event' 'follow' 'soap' 'blizzard' '1378'],['economic' 'crash'],['what' 'event' 'follow' 'soap' 'blizzard' '1378' 'economic' 'crash'],['what'],what
912,912,What was the name of Sirius Black's furry alter ego?,Padfoot,['what' 'be' 'name' 'sirius' 'black' 'furry' 'alter' 'ego'],['padfoot'],['what' 'be' 'name' 'sirius' 'black' 'furry' 'alter' 'ego' 'padfoot'],['what' 'be' 'name'],what
913,913,Who does Harry encounter in the Prefect's bathroom?,Moaning Myrtle,['who' 'do' 'harry' 'encounter' 'prefect' 'bathroom'],['moan' 'myrtle'],['who' 'do' 'harry' 'encounter' 'prefect' 'bathroom' 'moan' 'myrtle'],['who' 'do'],who
914,914,What is Gilderoy Lockhart’s favorite color?,Lilac,['what' 'be' 'gilderoy' 'lockhart' 'favorite' 'color'],['lilac'],['what' 'be' 'gilderoy' 'lockhart' 'favorite' 'color' 'lilac'],['what' 'be'],what
915,915,What sweet causes hiccups?,Hiccough Sweet,['what' 'sweet' 'cause' 'hiccup'],['hiccough' 'sweet'],['what' 'sweet' 'cause' 'hiccup' 'hiccough'],['what'],what
916,916,What is a healing spell commonly used in the Hospital Wing?,Episkey,['what' 'be' 'heal' 'spell' 'commonly' 'use' 'hospital' 'wing'],['episkey'],['what' 'be' 'heal' 'spell' 'commonly' 'use' 'hospital' 'wing' 'episkey'],['what' 'be'],what
917,917,Who is the house ghost of Hufflepuff?,The Fat Friar,['who' 'be' 'house' 'ghost' 'hufflepuff'],['fat' 'friar'],['who' 'be' 'house' 'ghost' 'hufflepuff' 'fat' 'friar'],['who' 'be'],who
918,918,How much gold do the Weasleys win in the Daily Prophet Grand Prize Galleon Draw?,700 galleons,"['how' 'much' 'gold' 'do' 'weasleys' 'win' 'daily' 'prophet' 'grand'
 'prize' 'galleon' 'draw']",['700' 'galleon'],"['how' 'much' 'gold' 'do' 'weasleys' 'win' 'daily' 'prophet' 'grand'
 'prize' 'galleon' 'draw' '700']",['how' 'do'],how
