question,answer,question keywords,answer keywords,combined keywords
Who was Harry Potter's godfather?,Sirius Black,"['potter', 'godfather', 'who', 'harry']","['sirius', 'black']","['potter', 'godfather', 'who', 'harry', 'sirius', 'black']"
Which of these is not a species of dragon?,Finnish Flamethrower,"['which', 'species', 'dragon']","['finnish', 'flamethrower']","['which', 'species', 'dragon', 'finnish', 'flamethrower']"
What makes a transformation easier?,Similarity in appearance,"['transformation', 'make', 'easy', 'what']","['similarity', 'appearance']","['transformation', 'make', 'easy', 'what', 'similarity', 'appearance']"
What spell unmasked Gellert Grindelwald in 1926?,Revelio,"['spell', 'gellert', 'grindelwald', 'unmask', 'what']",['revelio'],"['spell', 'gellert', 'grindelwald', 'unmask', 'what', 'revelio']"
"Who is NOT in Gryffindor: Harry Potter, Ron Weasley, Draco Malfoy, or Ginny Weasley?",Draco Malfoy,"['harry', 'weasley', 'potter', 'who', 'gryffindor', 'ginny', 'ron', 'malfoy', 'draco']","['draco', 'malfoy']","['harry', 'weasley', 'potter', 'who', 'gryffindor', 'ginny', 'ron', 'malfoy', 'draco', 'draco', 'malfoy']"
What was the name of the person who was the original owner of the Elder Wand?,Antioch Peverell,"['elder', 'person', 'wand', 'who', 'what', 'original', 'name', 'owner']","['peverell', 'antioch']","['elder', 'person', 'wand', 'who', 'what', 'original', 'name', 'owner', 'peverell', 'antioch']"
Can Ascendio be used underwater?,"Yes, it can","['use', 'underwater', 'ascendio']",['yes'],"['use', 'underwater', 'ascendio', 'yes']"
"When Neville Longbottom dresses his Boggart (Professor Snape) up in his grandmother’s clothes, what stuffed bird is on top of the hat?",A vulture,"['boggart', 'neville', 'top', 'snape', 'stuff', 'longbottom', 'professor', 'when', 'dress', 'grandmother', 'clothe', 'hat', 'bird', 'what']",['vulture'],"['boggart', 'neville', 'top', 'snape', 'stuff', 'longbottom', 'professor', 'when', 'dress', 'grandmother', 'clothe', 'hat', 'bird', 'what', 'vulture']"
What is the name of Filch's cat?,Mrs. Norris,"['filchs', 'cat', 'name', 'what']","['norris', 'mr']","['filchs', 'cat', 'name', 'what', 'norris', 'mr']"
What children's book contains the story of the Deathly Hallows?,The Tales of Beedle the Bard,"['book', 'contains', 'childrens', 'story', 'hallows', 'deathly', 'what']","['beedle', 'tale', 'bard']","['book', 'contains', 'childrens', 'story', 'hallows', 'deathly', 'what', 'beedle', 'tale', 'bard']"
"In Book 7, what three Ministry of Magic employees do Ron, Harry, and Hermione impersonate?","Mafalda Hopkirk, Reginald Cattermole, and Albert Runcorn.","['harry', 'hermione', 'book', 'magic', 'ron', 'what', 'three', 'ministry', 'employee', 'impersonate']","['reginald', 'mafalda', 'hopkirk', 'runcorn', 'albert', 'cattermole']","['harry', 'hermione', 'book', 'magic', 'ron', 'what', 'three', 'ministry', 'employee', 'impersonate', 'reginald', 'mafalda', 'hopkirk', 'runcorn', 'albert', 'cattermole']"
Who is Harry's first crush?,Cho Chang,"['first', 'crush', 'who', 'harry']","['cho', 'chang']","['first', 'crush', 'who', 'harry', 'cho', 'chang']"
"Dittany, mixed with this ingredient, can cure a Werewolf bite.",Powdered Silver,"['ingredient', 'dittany', 'mixed', 'werewolf', 'cure', 'bite']","['powder', 'silver']","['ingredient', 'dittany', 'mixed', 'werewolf', 'cure', 'bite', 'powder', 'silver']"
Who left the lightning-shaped scar on Harry Potter's forehead?,Voldemort,"['harry', 'scar', 'potter', 'who', 'leave', 'forehead', 'lightningshaped']",['voldemort'],"['harry', 'scar', 'potter', 'who', 'leave', 'forehead', 'lightningshaped', 'voldemort']"
Did the werewolf code of conduct work?,No,"['code', 'conduct', 'work', 'werewolf']",[],"['code', 'conduct', 'work', 'werewolf']"
What happens when you touch a Wiggentree?,Protection from Dark Creatures,"['wiggentree', 'when', 'happen', 'what', 'touch']","['dark', 'creature', 'protection']","['wiggentree', 'when', 'happen', 'what', 'touch', 'dark', 'creature', 'protection']"
How many students sleep in each dormitory?,5,"['dormitory', 'many', 'student', 'how', 'sleep']",[],"['dormitory', 'many', 'student', 'how', 'sleep']"
Bowtruckles are especially fond of what tree?,Wiggentrees,"['tree', 'fond', 'what', 'bowtruckles', 'especially']",['wiggentrees'],"['tree', 'fond', 'what', 'bowtruckles', 'especially', 'wiggentrees']"
Which plant's pus clears up acne?,Bubotuber,"['which', 'plant', 'clear', 'pus', 'acne']",['bubotuber'],"['which', 'plant', 'clear', 'pus', 'acne', 'bubotuber']"
What is Salazar Slytherin's signature item?,Locket,"['salazar', 'slytherins', 'item', 'signature', 'what']",['locket'],"['salazar', 'slytherins', 'item', 'signature', 'what', 'locket']"
Who teaches Potions class this year?,Professor Horace Slughorn,"['potion', 'teach', 'who', 'class', 'year']","['professor', 'slughorn', 'horace']","['potion', 'teach', 'who', 'class', 'year', 'professor', 'slughorn', 'horace']"
This real-life library served as the restricted section of the Hogwarts library in the film version. Which is it?,The Bodleian Library at Oxford University,"['section', 'which', 'version', 'serve', 'reallife', 'restricted', 'film', 'library', 'hogwarts']","['university', 'library', 'oxford', 'bodleian']","['section', 'which', 'version', 'serve', 'reallife', 'restricted', 'film', 'library', 'hogwarts', 'university', 'library', 'oxford', 'bodleian']"
Acromantula is the name for a giant version of what creature?,Spider,"['acromantula', 'version', 'what', 'creature', 'giant', 'name']",['spider'],"['acromantula', 'version', 'what', 'creature', 'giant', 'name', 'spider']"
What is the incantation of the scrubbing spell?,Scourgify,"['incantation', 'scrub', 'spell', 'what']",['scourgify'],"['incantation', 'scrub', 'spell', 'what', 'scourgify']"
"In the Chamber of Secrets, the tears of the Phoenix cured the Poison of what creature?",Basilisk,"['phoenix', 'secret', 'poison', 'cure', 'chamber', 'what', 'creature', 'tear']",['basilisk'],"['phoenix', 'secret', 'poison', 'cure', 'chamber', 'what', 'creature', 'tear', 'basilisk']"
"In Book 4, what magical creature does Harry answer a riddle from in the maze during the Triwizard Tournament?",A sphinx.,"['harry', 'book', 'triwizard', 'answer', 'magical', 'riddle', 'maze', 'what', 'creature', 'tournament']",['sphinx'],"['harry', 'book', 'triwizard', 'answer', 'magical', 'riddle', 'maze', 'what', 'creature', 'tournament', 'sphinx']"
How was Hermione able to take extra lessons?,She used a time-turner,"['hermione', 'able', 'how', 'extra', 'lesson', 'take']","['timeturner', 'use']","['hermione', 'able', 'how', 'extra', 'lesson', 'take', 'timeturner', 'use']"
What is the name of the Weasley family home?,The Burrow,"['weasley', 'family', 'home', 'what', 'name']",['burrow'],"['weasley', 'family', 'home', 'what', 'name', 'burrow']"
How do fairies communicate?,By buzzing.,"['how', 'communicate', 'fairy']",['buzzing'],"['how', 'communicate', 'fairy', 'buzzing']"
What school-aged peer is Harry's nemesis throughout his time at Hogwarts?,Draco Malfoy.,"['throughout', 'schoolaged', 'harrys', 'time', 'what', 'peer', 'nemesis', 'hogwarts']","['draco', 'malfoy']","['throughout', 'schoolaged', 'harrys', 'time', 'what', 'peer', 'nemesis', 'hogwarts', 'draco', 'malfoy']"
What ingredient from the Potions Storeroom did Snape ask you to retrieve in order to restore House Points?,Pickled Slugs,"['ingredient', 'restore', 'potion', 'snape', 'house', 'ask', 'order', 'point', 'what', 'storeroom', 'retrieve']","['pickle', 'slug']","['ingredient', 'restore', 'potion', 'snape', 'house', 'ask', 'order', 'point', 'what', 'storeroom', 'retrieve', 'pickle', 'slug']"
What does the spell Accio do?,Summons objects,"['spell', 'accio', 'what']","['object', 'summons']","['spell', 'accio', 'what', 'object', 'summons']"
"Before Dumbledore, who was the Headmaster of Hogwarts?",Armando Dippet,"['who', 'dumbledore', 'headmaster', 'hogwarts']","['dippet', 'armando']","['who', 'dumbledore', 'headmaster', 'hogwarts', 'dippet', 'armando']"
"When Harry was learning the Patronus Charm, what happy memory did he initially use?",The first time he rode a broom,"['harry', 'patronus', 'happy', 'when', 'charm', 'memory', 'learn', 'use', 'what', 'initially']","['time', 'broom', 'first', 'rode']","['harry', 'patronus', 'happy', 'when', 'charm', 'memory', 'learn', 'use', 'what', 'initially', 'time', 'broom', 'first', 'rode']"
"In Harry Potter and the Prisoner of Azkaban, whose portrait replaces the Fat Lady after she is attacked?",Sir Cadogan,"['fat', 'whose', 'harry', 'replace', 'potter', 'portrait', 'prisoner', 'attack', 'azkaban', 'lady']","['cadogan', 'sir']","['fat', 'whose', 'harry', 'replace', 'potter', 'portrait', 'prisoner', 'attack', 'azkaban', 'lady', 'cadogan', 'sir']"
Which elective is occasionally offered at Hogwarts?,Alchemy,"['occasionally', 'which', 'elective', 'offer', 'hogwarts']",['alchemy'],"['occasionally', 'which', 'elective', 'offer', 'hogwarts', 'alchemy']"
What is Harry's middle name?,James,"['harry', 'middle', 'name', 'what']",['james'],"['harry', 'middle', 'name', 'what', 'james']"
"On the wall across from the Room of Requirement, there is a tapestry showing a wizard trying to teach trolls ballet. What's his name?",Barnabus the Barmy.,"['wall', 'ballet', 'wizard', 'try', 'teach', 'requirement', 'across', 'name', 'room', 'show', 'tapestry', 'whats', 'troll']","['barmy', 'barnabus']","['wall', 'ballet', 'wizard', 'try', 'teach', 'requirement', 'across', 'name', 'room', 'show', 'tapestry', 'whats', 'troll', 'barmy', 'barnabus']"
What did Professor Snape tell Harry could Detoxify people from most kinds of poisons?,Bezoar,"['harry', 'snape', 'professor', 'detoxify', 'poison', 'kind', 'people', 'tell', 'what', 'could']",['bezoar'],"['harry', 'snape', 'professor', 'detoxify', 'poison', 'kind', 'people', 'tell', 'what', 'could', 'bezoar']"
"If I wanted to use an Ageing Potion to make myself significantly older, what would I do?",Drink a Bigger Quantity,"['potion', 'make', 'old', 'want', 'use', 'significantly', 'what', 'age', 'would']","['big', 'drink', 'quantity']","['potion', 'make', 'old', 'want', 'use', 'significantly', 'what', 'age', 'would', 'big', 'drink', 'quantity']"
Which plant produces stinking sap?,Mimbulus Mimbletonia,"['which', 'plant', 'stink', 'produce', 'sap']","['mimbletonia', 'mimbulus']","['which', 'plant', 'stink', 'produce', 'sap', 'mimbletonia', 'mimbulus']"
Where is the entrance to St. Mungos located?,Muggle London,"['where', 'mungos', 'entrance', 'st', 'locate']","['muggle', 'london']","['where', 'mungos', 'entrance', 'st', 'locate', 'muggle', 'london']"
What is the counter-charm to Colloportus?,Alohomora,"['countercharm', 'colloportus', 'what']",['alohomora'],"['countercharm', 'colloportus', 'what', 'alohomora']"
What incantation marks the air with a burning trail?,Flagrate,"['trail', 'air', 'burn', 'what', 'incantation', 'mark']",['flagrate'],"['trail', 'air', 'burn', 'what', 'incantation', 'mark', 'flagrate']"
Bowling dates to what ancient civilization?,Ancient Egypt,"['date', 'bowl', 'ancient', 'what', 'civilization']","['ancient', 'egypt']","['date', 'bowl', 'ancient', 'what', 'civilization', 'ancient', 'egypt']"
What magazine does Xenophilius Lovegood publish?,The Quibbler,"['magazine', 'lovegood', 'publish', 'xenophilius', 'what']",['quibbler'],"['magazine', 'lovegood', 'publish', 'xenophilius', 'what', 'quibbler']"
Why do Ron Weasley and Hermione Granger stop speaking?,"Ron blames Hermione’s cat, Crookshanks, for the disappearance of his pet rat, Scabbers.","['hermione', 'weasley', 'why', 'ron', 'stop', 'granger', 'speaking']","['hermiones', 'scabbers', 'rat', 'cat', 'disappearance', 'pet', 'crookshanks', 'ron', 'blame']","['hermione', 'weasley', 'why', 'ron', 'stop', 'granger', 'speaking', 'hermiones', 'scabbers', 'rat', 'cat', 'disappearance', 'pet', 'crookshanks', 'ron', 'blame']"
When was the Werewolf Code of Conduct developed?,1637,"['develop', 'when', 'werewolf', 'code', 'conduct']",[],"['develop', 'when', 'werewolf', 'code', 'conduct']"
What lives in the Forbidden Forest?,Intelligent wolves,"['forest', 'live', 'forbidden', 'what']","['wolf', 'intelligent']","['forest', 'live', 'forbidden', 'what', 'wolf', 'intelligent']"
At what age do children receive their Hogwarts letter?,11,"['receive', 'letter', 'what', 'child', 'age', 'hogwarts']",[],"['receive', 'letter', 'what', 'child', 'age', 'hogwarts']"
Who founded St Mungo's Hospital?,Mungo Bonham,"['who', 'mungos', 'found', 'hospital', 'st']","['mungo', 'bonham']","['who', 'mungos', 'found', 'hospital', 'st', 'mungo', 'bonham']"
What does Harry do with his winnings from the Triwizard Tournament?,Gives it to the Weasley Twins,"['harry', 'triwizard', 'winnings', 'what', 'tournament']","['give', 'twin', 'weasley']","['harry', 'triwizard', 'winnings', 'what', 'tournament', 'give', 'twin', 'weasley']"
What do Uncle Vernon and Aunt Petunia give Harry for Christmas?,A 50-pence piece,"['give', 'aunt', 'harry', 'christmas', 'what', 'uncle', 'petunia', 'vernon']","['penny', 'piece']","['give', 'aunt', 'harry', 'christmas', 'what', 'uncle', 'petunia', 'vernon', 'penny', 'piece']"
What is the name of the place where students buy their school supplies?,Diagon Alley,"['place', 'school', 'where', 'student', 'buy', 'supply', 'what', 'name']","['diagon', 'alley']","['place', 'school', 'where', 'student', 'buy', 'supply', 'what', 'name', 'diagon', 'alley']"
Who created the International Statute of Wizarding Secrecy?,International Confederation of Wizards,"['international', 'statute', 'create', 'who', 'wizarding', 'secrecy']","['international', 'confederation', 'wizard']","['international', 'statute', 'create', 'who', 'wizarding', 'secrecy', 'international', 'confederation', 'wizard']"
Who is Dobby's original owner?,Lucius Malfoy,"['dobbys', 'who', 'original', 'owner']","['malfoy', 'lucius']","['dobbys', 'who', 'original', 'owner', 'malfoy', 'lucius']"
"What is Fred Weasley’s chosen code name on Potterwatch, the secretive radio programme set up by the Order of the Phoenix?",Rapier.,"['secretive', 'phoenix', 'choose', 'potterwatch', 'programme', 'order', 'code', 'weasleys', 'fred', 'set', 'what', 'radio', 'name']",['rapier'],"['secretive', 'phoenix', 'choose', 'potterwatch', 'programme', 'order', 'code', 'weasleys', 'fred', 'set', 'what', 'radio', 'name', 'rapier']"
"When Hermione Granger is found Petrified, she is not alone. Who is with her?",Penelope Clearwater,"['hermione', 'who', 'find', 'when', 'petrified', 'granger', 'alone']","['penelope', 'clearwater']","['hermione', 'who', 'find', 'when', 'petrified', 'granger', 'alone', 'penelope', 'clearwater']"
Which of the following creatures eat Fairy Eggs?,Bowtruckles,"['which', 'fairy', 'egg', 'follow', 'eat', 'creature']",['bowtruckles'],"['which', 'fairy', 'egg', 'follow', 'eat', 'creature', 'bowtruckles']"
Which member of the Council became the first Minister of Magic?,Ulick Gamp,"['which', 'council', 'first', 'member', 'minister', 'magic', 'become']","['ulick', 'gamp']","['which', 'council', 'first', 'member', 'minister', 'magic', 'become', 'ulick', 'gamp']"
What does Cave Inimicum do?,Conceals presences,"['cave', 'inimicum', 'what']","['presence', 'conceals']","['cave', 'inimicum', 'what', 'presence', 'conceals']"
What is the use of a draught of peace?,Calming the drinker,"['draught', 'peace', 'use', 'what']","['calm', 'drinker']","['draught', 'peace', 'use', 'what', 'calm', 'drinker']"
Which insect is Ron afraid of?,Spiders,"['which', 'ron', 'insect', 'afraid']",['spider'],"['which', 'ron', 'insect', 'afraid', 'spider']"
"Which of these spells is most similar to Flipendo, the Knockback Jinx?",Depulso,"['which', 'spell', 'jinx', 'similar', 'knockback', 'flipendo']",['depulso'],"['which', 'spell', 'jinx', 'similar', 'knockback', 'flipendo', 'depulso']"
Which condition could be remedied by a Calming Draught?,Shock,"['remedied', 'which', 'condition', 'calm', 'draught', 'could']",['shock'],"['remedied', 'which', 'condition', 'calm', 'draught', 'could', 'shock']"
What is Godric Gryffindor's signature item?,Sword,"['signature', 'item', 'gryffindors', 'what', 'godric']",['sword'],"['signature', 'item', 'gryffindors', 'what', 'godric', 'sword']"
What does Colovaria do?,Change Something's Colour,"['colovaria', 'what']","['colour', 'change', 'somethings']","['colovaria', 'what', 'colour', 'change', 'somethings']"
Who wrote Fantastic Beasts and Where to Find Them?,Newt Scamander,"['fantastic', 'where', 'who', 'write', 'find', 'beast']","['newt', 'scamander']","['fantastic', 'where', 'who', 'write', 'find', 'beast', 'newt', 'scamander']"
When does Quidditch season begin?,A September,"['begin', 'quidditch', 'when', 'season']",['september'],"['begin', 'quidditch', 'when', 'season', 'september']"
How many possible Quidditch fouls are there?,700,"['many', 'how', 'possible', 'quidditch', 'foul']",[],"['many', 'how', 'possible', 'quidditch', 'foul']"
What office does Arthur Weasley work for in the Ministry of Magic?,The Misuse of Muggle Artefacts Office,"['work', 'weasley', 'office', 'arthur', 'magic', 'what', 'ministry']","['office', 'misuse', 'muggle', 'artefacts']","['work', 'weasley', 'office', 'arthur', 'magic', 'what', 'ministry', 'office', 'misuse', 'muggle', 'artefacts']"
Where was the first meeting of Dumbledore's Army?,Hog's Head Inn,"['meeting', 'dumbledores', 'army', 'where', 'first']","['inn', 'hog', 'head']","['meeting', 'dumbledores', 'army', 'where', 'first', 'inn', 'hog', 'head']"
What do Flobberworms eat?,Lettuce,"['flobberworms', 'eat', 'what']",['lettuce'],"['flobberworms', 'eat', 'what', 'lettuce']"
What is Snape's birthday?,"Jan. 9, 1960","['snap', 'birthday', 'what']",['jan'],"['snap', 'birthday', 'what', 'jan']"
Which spell is one of the Unforgivable Curses?,Crucio,"['which', 'spell', 'one', 'unforgivable', 'curse']",['crucio'],"['which', 'spell', 'one', 'unforgivable', 'curse', 'crucio']"
What is at the base of the Whomping Willow?,A tunnel that leads to the Shrieking Shack.,"['willow', 'whomp', 'base', 'what']","['tunnel', 'shack', 'shriek', 'lead']","['willow', 'whomp', 'base', 'what', 'tunnel', 'shack', 'shriek', 'lead']"
What is the name of the spell used to conjure the Patronus Charm?,Expecto Patronum,"['spell', 'conjure', 'patronus', 'charm', 'use', 'what', 'name']","['expecto', 'patronum']","['spell', 'conjure', 'patronus', 'charm', 'use', 'what', 'name', 'expecto', 'patronum']"
How old is Professor Snape?,About 30,"['how', 'professor', 'snape', 'old']",[],"['how', 'professor', 'snape', 'old']"
"In the book, where do Hermione Granger’s parents move to?",Australia,"['hermione', 'book', 'move', 'where', 'parent', 'grangers']",['australia'],"['hermione', 'book', 'move', 'where', 'parent', 'grangers', 'australia']"
Who is the Headmaster of Hogwarts when Harry arrives?,Albus Dumbledore.,"['harry', 'who', 'when', 'headmaster', 'arrive', 'hogwarts']","['dumbledore', 'albus']","['harry', 'who', 'when', 'headmaster', 'arrive', 'hogwarts', 'dumbledore', 'albus']"
What makes the Manticore's tail so dangerous?,Its deadly sting,"['tail', 'make', 'dangerous', 'what', 'manticore']","['sting', 'deadly']","['tail', 'make', 'dangerous', 'what', 'manticore', 'sting', 'deadly']"
Harry uses Parseltongue to speak to which creatures?,Snake,"['which', 'harry', 'parseltongue', 'use', 'creature', 'speak']",['snake'],"['which', 'harry', 'parseltongue', 'use', 'creature', 'speak', 'snake']"
Who guards the entrance to the Gryffindor common room?,The Fat Lady,"['who', 'gryffindor', 'entrance', 'guard', 'room', 'common']","['fat', 'lady']","['who', 'gryffindor', 'entrance', 'guard', 'room', 'common', 'fat', 'lady']"
Which of the following Charms did we learn in the first year?,Knockback Jinx,"['which', 'first', 'follow', 'charm', 'learn', 'year']","['knockback', 'jinx']","['which', 'first', 'follow', 'charm', 'learn', 'year', 'knockback', 'jinx']"
Which of these factors does not affect Transfiguration?,Hue,"['transfiguration', 'which', 'affect', 'factor']",['hue'],"['transfiguration', 'which', 'affect', 'factor', 'hue']"
Why shouldn't you drop Puffapod beans?,They'll bloom,"['drop', 'bean', 'why', 'shouldnt', 'puffapod']","['bloom', 'theyll']","['drop', 'bean', 'why', 'shouldnt', 'puffapod', 'bloom', 'theyll']"
What is Bubotuber pus used for?,Clearing up acne,"['pu', 'bubotuber', 'use', 'what']","['acne', 'clear']","['pu', 'bubotuber', 'use', 'what', 'acne', 'clear']"
Where is the best place to buy flesh-eating repellent?,Knockturn Alley,"['place', 'where', 'flesheating', 'buy', 'repellent', 'best']","['alley', 'knockturn']","['place', 'where', 'flesheating', 'buy', 'repellent', 'best', 'alley', 'knockturn']"
Which of these being does not live on the Hogwarts grounds?,Goblins,"['ground', 'which', 'live', 'hogwarts']",['goblin'],"['ground', 'which', 'live', 'hogwarts', 'goblin']"
What's the only exciting part of my class?,Entrance Through the Blackboard,"['class', 'whats', 'part', 'excite']","['blackboard', 'entrance']","['class', 'whats', 'part', 'excite', 'blackboard', 'entrance']"
What is arithmancy?,Numerology,"['arithmancy', 'what']",['numerology'],"['arithmancy', 'what', 'numerology']"
How do you get into the Room of Requirement?,"While thinking about what you need the room to become, walk past where it should be three times.","['how', 'room', 'get', 'requirement']","['past', 'where', 'three', 'room', 'time', 'walk', 'need', 'what', 'think', 'become']","['how', 'room', 'get', 'requirement', 'past', 'where', 'three', 'room', 'time', 'walk', 'need', 'what', 'think', 'become']"
Does Blue Sparks do any damage when cast on people?,It only hurts a little.,"['spark', 'cast', 'when', 'blue', 'damage', 'people']","['hurt', 'little']","['spark', 'cast', 'when', 'blue', 'damage', 'people', 'hurt', 'little']"
What is another name for Defodio?,Gouging Spell,"['defodio', 'another', 'name', 'what']","['spell', 'gouge']","['defodio', 'another', 'name', 'what', 'spell', 'gouge']"
What item in the Headmaster's Office allows you to review bottled memories?,The Pensieve.,"['allow', 'office', 'review', 'memory', 'bottle', 'item', 'headmaster', 'what']",['pensieve'],"['allow', 'office', 'review', 'memory', 'bottle', 'item', 'headmaster', 'what', 'pensieve']"
Where do Glumbubles nest?,Dark and secluded places.,"['where', 'nest', 'glumbubles']","['place', 'seclude', 'dark']","['where', 'nest', 'glumbubles', 'place', 'seclude', 'dark']"
What is the correct way to open the Monster Book of Monsters?,Stroke the spine,"['book', 'monster', 'what', 'open', 'way', 'correct']","['spine', 'stroke']","['book', 'monster', 'what', 'open', 'way', 'correct', 'spine', 'stroke']"
What are the gemstones in the cursed necklace Draco Malfoy buys from Borgin and Burkes?,Opals,"['necklace', 'buy', 'burke', 'gemstones', 'malfoy', 'what', 'draco', 'curse', 'borgin']",['opal'],"['necklace', 'buy', 'burke', 'gemstones', 'malfoy', 'what', 'draco', 'curse', 'borgin', 'opal']"
And where do the Weasleys go on holiday with their winnings?,Egypt,"['where', 'holiday', 'weasleys', 'winning', 'go']",['egypt'],"['where', 'holiday', 'weasleys', 'winning', 'go', 'egypt']"
What is the primary ingredient in Polyjuice Potion?,A piece of the person you want to turn into,"['ingredient', 'potion', 'primary', 'polyjuice', 'what']","['turn', 'want', 'person', 'piece']","['ingredient', 'potion', 'primary', 'polyjuice', 'what', 'turn', 'want', 'person', 'piece']"
What magical plant appears to have floating fruit?,Dirigible Plum,"['appear', 'plant', 'magical', 'fruit', 'what', 'float']","['plum', 'dirigible']","['appear', 'plant', 'magical', 'fruit', 'what', 'float', 'plum', 'dirigible']"
What is Dean Thomas's favorite sport?,Football (soccer),"['favorite', 'sport', 'what', 'dean', 'thomas']","['football', 'soccer']","['favorite', 'sport', 'what', 'dean', 'thomas', 'football', 'soccer']"
What is the correct birth order of the Weasley children?,"Bill, Charlie, Percy, Fred and George, Ron, Ginny","['birth', 'weasley', 'order', 'what', 'correct', 'child']","['george', 'charlie', 'ginny', 'ron', 'fred', 'percy', 'bill']","['birth', 'weasley', 'order', 'what', 'correct', 'child', 'george', 'charlie', 'ginny', 'ron', 'fred', 'percy', 'bill']"
Who is Harry Potter's godfather?,Sirius Black.,"['potter', 'godfather', 'who', 'harry']","['sirius', 'black']","['potter', 'godfather', 'who', 'harry', 'sirius', 'black']"
What can't the Blackboard Writing Spell create on a blackboard?,Music scores.,"['spell', 'cant', 'create', 'write', 'blackboard', 'what']","['score', 'music']","['spell', 'cant', 'create', 'write', 'blackboard', 'what', 'score', 'music']"
What is Voldemort's real name?,Tom Marvolo Riddle,"['real', 'voldemorts', 'name', 'what']","['riddle', 'tom', 'marvolo']","['real', 'voldemorts', 'name', 'what', 'riddle', 'tom', 'marvolo']"
"For Harry's 17th birthday, what color did Hermione turn the leaves of the Weasleys’ crabapple tree?",Gold,"['tree', 'hermione', 'birthday', 'turn', 'crabapple', 'leave', 'harrys', 'weasleys', 'what', 'color', 'th']",['gold'],"['tree', 'hermione', 'birthday', 'turn', 'crabapple', 'leave', 'harrys', 'weasleys', 'what', 'color', 'th', 'gold']"
Which spell causes objects to swell in size?,Engorgio,"['which', 'spell', 'object', 'cause', 'swell', 'size']",['engorgio'],"['which', 'spell', 'object', 'cause', 'swell', 'size', 'engorgio']"
What is the putrid green fluid produced by the mimbulus mumbletonia?,Stinksap,"['fluid', 'mimbulus', 'produce', 'mumbletonia', 'what', 'green', 'putrid']",['stinksap'],"['fluid', 'mimbulus', 'produce', 'mumbletonia', 'what', 'green', 'putrid', 'stinksap']"
Which of the following is NOT an ingredient in the Antidote to Common Potions?,Red Myrrh,"['which', 'ingredient', 'potion', 'follow', 'antidote', 'common']","['myrrh', 'red']","['which', 'ingredient', 'potion', 'follow', 'antidote', 'common', 'myrrh', 'red']"
What does the spell Colloportus do?,Lock and seal doors,"['spell', 'colloportus', 'what']","['lock', 'door', 'seal']","['spell', 'colloportus', 'what', 'lock', 'door', 'seal']"
What is the name of the Weasley twins’ magic joke shop?,Weasleys’ Wizard Wheezes,"['shop', 'weasley', 'twin', 'joke', 'magic', 'what', 'name']","['weasleys', 'wheeze', 'wizard']","['shop', 'weasley', 'twin', 'joke', 'magic', 'what', 'name', 'weasleys', 'wheeze', 'wizard']"
The Muffliato Charm fills its targets' ears with what?,Unidentifiable Buzzing,"['muffliato', 'ears', 'charm', 'target', 'what', 'fill']","['unidentifiable', 'buzzing']","['muffliato', 'ears', 'charm', 'target', 'what', 'fill', 'unidentifiable', 'buzzing']"
What did Hermione say Ron has the emotional range of?,A teaspoon,"['hermione', 'range', 'ron', 'say', 'what', 'emotional']",['teaspoon'],"['hermione', 'range', 'ron', 'say', 'what', 'emotional', 'teaspoon']"
What was the name of the wizard who created the Sorcerer's Stone?,Nicolas Flamel,"['wizard', 'create', 'sorcerer', 'who', 'what', 'stone', 'name']","['nicolas', 'flamel']","['wizard', 'create', 'sorcerer', 'who', 'what', 'stone', 'name', 'nicolas', 'flamel']"
What was the name of the Potters' house-elf?,Kreacher,"['potter', 'houseelf', 'name', 'what']",['kreacher'],"['potter', 'houseelf', 'name', 'what', 'kreacher']"
Is it safe to eat mistletoe berries?,"No, they're poisonous.","['mistletoe', 'berry', 'eat', 'safe']","['theyre', 'poisonous']","['mistletoe', 'berry', 'eat', 'safe', 'theyre', 'poisonous']"
"In the book, what sport has Dudley recently taken up?",Boxing,"['book', 'recently', 'sport', 'what', 'dudley', 'take']",['boxing'],"['book', 'recently', 'sport', 'what', 'dudley', 'take', 'boxing']"
What name does Buckbeak get after being saved from execution?,Witherwings,"['get', 'execution', 'buckbeak', 'what', 'name', 'save']",['witherwings'],"['get', 'execution', 'buckbeak', 'what', 'name', 'save', 'witherwings']"
What are the optimal growing conditions for Devil's Snare?,Dark and damp,"['condition', 'grow', 'devil', 'optimal', 'what', 'snare']","['damp', 'dark']","['condition', 'grow', 'devil', 'optimal', 'what', 'snare', 'damp', 'dark']"
What event followed the Soap Blizzard of 1378?,Economic Crash,"['event', 'soap', 'follow', 'what', 'blizzard']","['crash', 'economic']","['event', 'soap', 'follow', 'what', 'blizzard', 'crash', 'economic']"
What was the name of Sirius Black's furry alter ego?,Padfoot,"['alter', 'ego', 'sirius', 'black', 'what', 'name', 'furry']",['padfoot'],"['alter', 'ego', 'sirius', 'black', 'what', 'name', 'furry', 'padfoot']"
Who does Harry encounter in the Prefect's bathroom?,Moaning Myrtle,"['prefect', 'harry', 'bathroom', 'encounter', 'who']","['moan', 'myrtle']","['prefect', 'harry', 'bathroom', 'encounter', 'who', 'moan', 'myrtle']"
What is Gilderoy Lockhart’s favorite color?,Lilac,"['lockharts', 'favorite', 'what', 'color', 'gilderoy']",['lilac'],"['lockharts', 'favorite', 'what', 'color', 'gilderoy', 'lilac']"
